Model,Departure Time,Departure Location,Arrival Time,Arrival Location,Delay,Expected Time,Weather,Peak Hour,Bad Weather,Traffic Congestion,Crew Availability Issue
Airbus A320,2024-10-21 22:09:13.353155,MIA,2024-10-22 01:09:13.353155,DEN,False,2024-10-22 01:09:13.353155,Rain,False,True,False,False
Boeing 737,2024-10-23 19:21:13.353164,LAS,2024-10-24 02:20:13.353164,SFO,True,2024-10-24 01:21:13.353164,Fog,False,True,False,True
Boeing 787,2024-11-13 03:09:13.353175,SFO,2024-11-13 05:09:13.353175,MIA,False,2024-11-13 05:09:13.353175,Rain,False,True,False,False
Boeing 737,2024-10-25 04:09:13.353184,SEA,2024-10-25 10:09:13.353184,SFO,False,2024-10-25 10:09:13.353184,Rain,False,True,False,False
Boeing 787,2024-11-15 06:51:13.353193,DEN,2024-11-15 12:38:13.353193,ORD,True,2024-11-15 11:51:13.353193,Rain,False,True,False,True
Airbus A320,2024-11-19 12:19:13.353204,JFK,2024-11-19 17:19:13.353204,ATL,False,2024-11-19 17:19:13.353204,Snow,False,True,False,False
Boeing 737,2024-11-01 04:42:13.353213,DFW,2024-11-01 08:42:13.353213,SFO,False,2024-11-01 08:42:13.353213,Clear,False,False,False,False
Boeing 777,2024-11-13 17:44:13.353222,ATL,2024-11-13 22:44:13.353222,DEN,False,2024-11-13 22:44:13.353222,Rain,True,True,False,False
Boeing 787,2024-10-29 05:33:13.353232,SFO,2024-10-29 11:38:13.353232,SEA,True,2024-10-29 10:33:13.353232,Thunderstorm,False,True,False,True
Airbus A350,2024-10-24 05:07:13.353242,MIA,2024-10-24 09:07:13.353242,ATL,False,2024-10-24 09:07:13.353242,Fog,False,True,False,False
Airbus A350,2024-11-12 17:09:13.353251,ATL,2024-11-12 23:52:13.353251,ORD,True,2024-11-12 22:09:13.353251,Snow,True,True,False,False
Boeing 737,2024-11-01 19:38:13.353268,LAX,2024-11-01 23:06:13.353268,DEN,True,2024-11-01 22:38:13.353268,Thunderstorm,False,True,False,False
Boeing 737,2024-10-28 23:10:13.353282,ORD,2024-10-29 03:10:13.353282,LAX,False,2024-10-29 03:10:13.353282,Thunderstorm,False,True,False,False
Boeing 737,2024-11-11 17:10:13.353291,SEA,2024-11-11 21:10:13.353291,ORD,False,2024-11-11 21:10:13.353291,Clear,True,False,True,False
Airbus A350,2024-10-31 23:04:13.353301,SFO,2024-11-01 02:17:13.353301,DEN,True,2024-11-01 02:04:13.353301,Rain,False,True,False,False
Airbus A350,2024-10-24 11:36:13.353318,ATL,2024-10-24 15:36:13.353318,SEA,False,2024-10-24 15:36:13.353318,Rain,False,True,False,False
Airbus A350,2024-10-27 05:55:13.353333,MIA,2024-10-27 07:55:13.353333,LAS,False,2024-10-27 07:55:13.353333,Rain,False,True,False,False
Boeing 787,2024-11-11 14:32:13.353343,LAX,2024-11-11 16:32:13.353343,ATL,False,2024-11-11 16:32:13.353343,Snow,False,True,False,False
Airbus A320,2024-11-06 09:54:13.353353,ORD,2024-11-06 13:34:13.353353,ATL,True,2024-11-06 12:54:13.353353,Fog,False,True,False,True
Boeing 777,2024-11-04 19:55:13.353365,LAS,2024-11-05 02:13:13.353365,SFO,True,2024-11-05 01:55:13.353365,Snow,False,True,False,False
Boeing 787,2024-11-14 16:39:13.353377,LAS,2024-11-14 23:05:13.353377,ATL,True,2024-11-14 22:39:13.353377,Snow,True,True,True,False
Boeing 787,2024-10-25 20:27:13.353388,LAS,2024-10-26 04:15:13.353388,SFO,True,2024-10-26 02:27:13.353388,Rain,False,True,False,False
Airbus A350,2024-11-06 07:06:13.353405,JFK,2024-11-06 10:57:13.353405,ORD,True,2024-11-06 10:06:13.353405,Rain,True,True,False,False
Boeing 737,2024-11-10 20:04:13.353422,MIA,2024-11-10 23:04:13.353422,DFW,False,2024-11-10 23:04:13.353422,Thunderstorm,False,True,False,False
Airbus A350,2024-11-10 08:24:13.353441,LAX,2024-11-10 14:55:13.353441,SEA,True,2024-11-10 14:24:13.353441,Thunderstorm,True,True,False,True
Boeing 737,2024-11-10 21:03:13.353453,LAX,2024-11-11 00:03:13.353453,JFK,False,2024-11-11 00:03:13.353453,Thunderstorm,False,True,False,False
Boeing 737,2024-10-30 23:06:13.353462,DEN,2024-10-31 05:59:13.353462,SEA,True,2024-10-31 04:06:13.353462,Fog,False,True,False,False
Boeing 787,2024-10-26 17:13:13.353473,LAX,2024-10-26 22:13:13.353473,JFK,False,2024-10-26 22:13:13.353473,Rain,True,True,False,False
Airbus A350,2024-11-18 01:07:13.353482,ORD,2024-11-18 05:07:13.353482,ATL,False,2024-11-18 05:07:13.353482,Rain,False,True,False,False
Boeing 777,2024-10-24 13:02:13.353491,LAS,2024-10-24 18:46:13.353491,SEA,True,2024-10-24 18:02:13.353491,Fog,False,True,False,True
Airbus A320,2024-10-30 15:42:13.353501,LAX,2024-10-30 21:42:13.353501,JFK,False,2024-10-30 21:42:13.353501,Rain,False,True,False,False
Airbus A320,2024-10-27 08:18:13.353510,SFO,2024-10-27 14:18:13.353510,ATL,False,2024-10-27 14:18:13.353510,Fog,True,True,False,False
Boeing 787,2024-11-02 19:16:13.353519,JFK,2024-11-02 23:40:13.353519,ORD,True,2024-11-02 22:16:13.353519,Snow,False,True,False,True
Boeing 737,2024-11-09 23:30:13.353530,MIA,2024-11-10 04:30:13.353530,LAS,False,2024-11-10 04:30:13.353530,Thunderstorm,False,True,False,False
Boeing 737,2024-10-25 11:33:13.353538,LAX,2024-10-25 15:33:13.353538,DEN,False,2024-10-25 15:33:13.353538,Snow,False,True,False,False
Boeing 737,2024-11-08 19:59:13.353547,ATL,2024-11-08 23:59:13.353547,JFK,False,2024-11-08 23:59:13.353547,Clear,False,False,False,False
Boeing 787,2024-11-14 20:04:13.353556,LAS,2024-11-15 02:30:13.353556,DEN,True,2024-11-15 02:04:13.353556,Clear,False,False,False,False
Boeing 777,2024-11-01 06:59:13.353567,SFO,2024-11-01 12:59:13.353567,SEA,False,2024-11-01 12:59:13.353567,Thunderstorm,False,True,False,False
Boeing 737,2024-10-26 01:08:13.353575,JFK,2024-10-26 06:08:13.353575,LAX,False,2024-10-26 06:08:13.353575,Rain,False,True,False,False
Airbus A350,2024-10-31 22:07:13.353584,LAS,2024-11-01 01:07:13.353584,ORD,False,2024-11-01 01:07:13.353584,Thunderstorm,False,True,False,False
Boeing 777,2024-11-06 19:21:13.353595,SEA,2024-11-07 00:21:13.353595,SFO,False,2024-11-07 00:21:13.353595,Fog,False,True,False,False
Boeing 737,2024-11-11 06:13:13.353604,SFO,2024-11-11 12:13:13.353604,ATL,False,2024-11-11 12:13:13.353604,Clear,False,False,False,False
Airbus A350,2024-11-10 21:23:13.353614,DEN,2024-11-11 01:47:13.353614,MIA,True,2024-11-11 00:23:13.353614,Fog,False,True,False,True
Airbus A350,2024-10-26 00:02:13.353625,SEA,2024-10-26 02:36:13.353625,ATL,True,2024-10-26 02:02:13.353625,Clear,False,False,False,False
Boeing 777,2024-11-04 01:00:13.353635,ATL,2024-11-04 06:00:13.353635,ORD,False,2024-11-04 06:00:13.353635,Clear,False,False,False,False
Airbus A320,2024-11-07 13:29:13.353645,LAS,2024-11-07 18:29:13.353645,DFW,False,2024-11-07 18:29:13.353645,Snow,False,True,False,False
Airbus A320,2024-10-31 20:09:13.353660,DEN,2024-11-01 00:09:13.353660,SEA,False,2024-11-01 00:09:13.353660,Rain,False,True,False,False
Airbus A320,2024-10-30 10:06:13.353674,MIA,2024-10-30 15:44:13.353674,SEA,True,2024-10-30 14:06:13.353674,Fog,False,True,False,False
Boeing 787,2024-11-20 02:04:13.353687,SFO,2024-11-20 07:27:13.353687,SEA,True,2024-11-20 06:04:13.353687,Thunderstorm,False,True,False,False
Boeing 787,2024-10-30 04:05:13.353699,SFO,2024-10-30 06:05:13.353699,ORD,False,2024-10-30 06:05:13.353699,Fog,False,True,False,False
Boeing 777,2024-10-27 20:04:13.353707,DEN,2024-10-28 02:04:13.353707,DFW,False,2024-10-28 02:04:13.353707,Rain,False,True,False,False
Boeing 737,2024-10-28 04:29:13.353716,SEA,2024-10-28 12:00:13.353716,DFW,True,2024-10-28 10:29:13.353716,Rain,False,True,False,True
Boeing 737,2024-11-12 17:53:13.353727,ATL,2024-11-12 22:13:13.353727,SFO,True,2024-11-12 20:53:13.353727,Rain,True,True,False,False
Boeing 787,2024-10-31 12:28:13.353738,DFW,2024-10-31 16:01:13.353738,SFO,True,2024-10-31 14:28:13.353738,Thunderstorm,False,True,False,True
Airbus A350,2024-11-03 08:46:13.353749,JFK,2024-11-03 10:46:13.353749,DFW,False,2024-11-03 10:46:13.353749,Fog,True,True,True,False
Boeing 777,2024-10-30 21:25:13.353759,JFK,2024-10-30 23:25:13.353759,LAX,False,2024-10-30 23:25:13.353759,Snow,False,True,False,False
Boeing 787,2024-11-05 07:41:13.353768,LAS,2024-11-05 13:41:13.353768,SEA,False,2024-11-05 13:41:13.353768,Snow,True,True,True,False
Boeing 737,2024-11-13 17:28:13.353779,SFO,2024-11-13 21:39:13.353779,ORD,True,2024-11-13 21:28:13.353779,Snow,True,True,False,True
Airbus A320,2024-11-16 16:19:13.353799,SEA,2024-11-16 21:20:13.353799,ATL,True,2024-11-16 20:19:13.353799,Clear,True,False,True,True
Boeing 787,2024-10-21 11:11:13.353814,SFO,2024-10-21 14:11:13.353814,DFW,False,2024-10-21 14:11:13.353814,Snow,False,True,False,False
Boeing 777,2024-10-29 23:10:13.353824,MIA,2024-10-30 03:45:13.353824,JFK,True,2024-10-30 02:10:13.353824,Clear,False,False,False,False
Boeing 777,2024-11-11 19:46:13.353836,ORD,2024-11-12 01:17:13.353836,DEN,True,2024-11-11 23:46:13.353836,Snow,False,True,False,False
Airbus A350,2024-10-25 17:56:13.353847,DFW,2024-10-25 22:56:13.353847,MIA,False,2024-10-25 22:56:13.353847,Fog,True,True,False,False
Airbus A350,2024-11-11 22:42:13.353857,DFW,2024-11-12 00:42:13.353857,MIA,False,2024-11-12 00:42:13.353857,Thunderstorm,False,True,False,False
Boeing 777,2024-10-22 20:44:13.353866,LAX,2024-10-23 04:07:13.353866,ORD,True,2024-10-23 02:44:13.353866,Thunderstorm,False,True,False,True
Airbus A320,2024-11-04 06:30:13.353877,SFO,2024-11-04 09:30:13.353877,SEA,False,2024-11-04 09:30:13.353877,Clear,False,False,False,False
Airbus A350,2024-11-04 07:19:13.353886,DEN,2024-11-04 12:19:13.353886,JFK,False,2024-11-04 12:19:13.353886,Thunderstorm,True,True,True,False
Airbus A350,2024-11-13 03:12:13.353895,DEN,2024-11-13 08:57:13.353895,MIA,True,2024-11-13 07:12:13.353895,Rain,False,True,False,True
Boeing 737,2024-11-12 05:21:13.353906,ATL,2024-11-12 08:31:13.353906,SFO,True,2024-11-12 07:21:13.353906,Clear,False,False,False,False
Boeing 787,2024-11-14 23:33:13.353917,ORD,2024-11-15 04:33:13.353917,DFW,False,2024-11-15 04:33:13.353917,Fog,False,True,False,False
Boeing 787,2024-10-24 00:29:13.353930,ATL,2024-10-24 08:02:13.353930,DEN,True,2024-10-24 06:29:13.353930,Snow,False,True,False,True
Airbus A320,2024-11-06 07:33:13.353947,LAS,2024-11-06 12:19:13.353947,ATL,True,2024-11-06 10:33:13.353947,Clear,True,False,False,False
Airbus A350,2024-11-02 10:02:13.353961,ATL,2024-11-02 15:02:13.353961,SEA,False,2024-11-02 15:02:13.353961,Rain,False,True,False,False
Boeing 777,2024-10-23 00:13:13.353970,DFW,2024-10-23 06:53:13.353970,LAX,True,2024-10-23 06:13:13.353970,Rain,False,True,False,True
Boeing 737,2024-11-04 22:30:13.353981,SEA,2024-11-05 02:14:13.353981,JFK,True,2024-11-05 00:30:13.353981,Clear,False,False,False,False
Boeing 787,2024-10-27 03:55:13.353991,DFW,2024-10-27 09:55:13.353991,SEA,False,2024-10-27 09:55:13.353991,Rain,False,True,False,False
Airbus A350,2024-10-28 12:43:13.354001,SFO,2024-10-28 16:45:13.354001,ATL,True,2024-10-28 15:43:13.354001,Snow,False,True,False,False
Boeing 737,2024-11-11 00:14:13.354012,LAS,2024-11-11 06:14:13.354012,ORD,False,2024-11-11 06:14:13.354012,Clear,False,False,False,False
Boeing 777,2024-11-01 01:13:13.354021,ATL,2024-11-01 07:01:13.354021,SEA,True,2024-11-01 06:13:13.354021,Fog,False,True,False,True
Airbus A350,2024-11-17 10:06:13.354032,DEN,2024-11-17 13:06:13.354032,DFW,False,2024-11-17 13:06:13.354032,Clear,False,False,False,False
Airbus A350,2024-11-07 18:55:13.354041,ATL,2024-11-08 00:37:13.354041,DEN,True,2024-11-07 23:55:13.354041,Rain,True,True,False,True
Boeing 787,2024-11-08 02:40:13.354053,SFO,2024-11-08 06:24:13.354053,LAX,True,2024-11-08 05:40:13.354053,Fog,False,True,False,True
Boeing 737,2024-10-27 18:00:13.354064,DFW,2024-10-27 22:00:13.354064,SEA,False,2024-10-27 22:00:13.354064,Clear,True,False,True,False
Airbus A320,2024-11-19 10:31:13.354074,LAX,2024-11-19 17:31:13.354074,LAS,True,2024-11-19 16:31:13.354074,Rain,False,True,False,False
Boeing 777,2024-11-07 23:09:13.354085,ATL,2024-11-08 03:09:13.354085,LAS,False,2024-11-08 03:09:13.354085,Snow,False,True,False,False
Airbus A350,2024-10-25 02:17:13.354094,DEN,2024-10-25 07:14:13.354094,LAS,True,2024-10-25 06:17:13.354094,Snow,False,True,False,False
Boeing 737,2024-11-13 06:48:13.354105,SEA,2024-11-13 10:48:13.354105,DFW,False,2024-11-13 10:48:13.354105,Snow,False,True,False,False
Airbus A320,2024-10-28 15:23:13.354114,DFW,2024-10-28 18:23:13.354114,ATL,False,2024-10-28 18:23:13.354114,Thunderstorm,False,True,False,False
Boeing 777,2024-11-13 23:34:13.354123,MIA,2024-11-14 04:34:13.354123,LAS,False,2024-11-14 04:34:13.354123,Rain,False,True,False,False
Boeing 777,2024-11-13 20:18:13.354133,ORD,2024-11-14 00:35:13.354133,DFW,True,2024-11-13 23:18:13.354133,Clear,False,False,False,True
Boeing 737,2024-10-25 23:01:13.354144,JFK,2024-10-26 01:12:13.354144,DEN,True,2024-10-26 01:01:13.354144,Rain,False,True,False,False
Boeing 777,2024-11-11 17:48:13.354155,JFK,2024-11-11 19:48:13.354155,LAS,False,2024-11-11 19:48:13.354155,Clear,True,False,True,False
Airbus A350,2024-10-30 03:19:13.354169,MIA,2024-10-30 08:42:13.354169,SEA,True,2024-10-30 08:19:13.354169,Clear,False,False,False,True
Airbus A320,2024-10-29 14:04:13.354188,DFW,2024-10-29 20:01:13.354188,SEA,True,2024-10-29 19:04:13.354188,Fog,False,True,False,False
Airbus A350,2024-10-31 00:39:13.354206,DFW,2024-10-31 03:00:13.354206,MIA,True,2024-10-31 02:39:13.354206,Fog,False,True,False,False
Boeing 787,2024-10-22 22:47:13.354219,LAS,2024-10-23 03:00:13.354219,DEN,True,2024-10-23 01:47:13.354219,Fog,False,True,False,False
Airbus A350,2024-11-19 04:01:13.354230,LAX,2024-11-19 07:01:13.354230,SEA,False,2024-11-19 07:01:13.354230,Snow,False,True,False,False
Boeing 737,2024-11-18 20:23:13.354243,LAX,2024-11-19 00:21:13.354243,SFO,True,2024-11-18 22:23:13.354243,Snow,False,True,False,True
Airbus A320,2024-11-15 01:39:13.354261,SEA,2024-11-15 07:27:13.354261,ORD,True,2024-11-15 06:39:13.354261,Rain,False,True,False,True
Airbus A350,2024-10-31 15:35:13.354273,ATL,2024-10-31 19:49:13.354273,SEA,True,2024-10-31 18:35:13.354273,Snow,False,True,False,True
Boeing 737,2024-11-16 05:08:13.354284,ATL,2024-11-16 11:08:13.354284,DFW,False,2024-11-16 11:08:13.354284,Snow,False,True,False,False
Boeing 737,2024-11-05 10:09:13.354293,MIA,2024-11-05 16:09:13.354293,LAS,False,2024-11-05 16:09:13.354293,Fog,False,True,False,False
Airbus A320,2024-10-23 22:05:13.354302,SEA,2024-10-24 01:25:13.354302,ATL,True,2024-10-24 01:05:13.354302,Snow,False,True,False,True
Boeing 787,2024-10-31 13:53:13.354313,ORD,2024-10-31 16:42:13.354313,DEN,True,2024-10-31 15:53:13.354313,Fog,False,True,False,False
Boeing 777,2024-10-23 08:14:13.354323,LAX,2024-10-23 13:14:13.354323,DFW,False,2024-10-23 13:14:13.354323,Clear,True,False,True,False
Boeing 737,2024-10-23 22:25:13.354338,SFO,2024-10-24 02:25:13.354338,SEA,False,2024-10-24 02:25:13.354338,Clear,False,False,False,False
Boeing 777,2024-11-14 05:33:13.354350,ATL,2024-11-14 12:56:13.354350,DEN,True,2024-11-14 11:33:13.354350,Thunderstorm,False,True,False,True
Boeing 787,2024-10-29 12:04:13.354361,ORD,2024-10-29 17:22:13.354361,DFW,True,2024-10-29 17:04:13.354361,Rain,False,True,False,False
Boeing 777,2024-11-05 05:10:13.354372,ATL,2024-11-05 10:52:13.354372,MIA,True,2024-11-05 09:10:13.354372,Fog,False,True,False,True
Boeing 787,2024-10-30 03:12:13.354388,LAX,2024-10-30 07:12:13.354388,DFW,False,2024-10-30 07:12:13.354388,Snow,False,True,False,False
Boeing 787,2024-11-16 23:25:13.354403,SFO,2024-11-17 02:25:13.354403,DEN,False,2024-11-17 02:25:13.354403,Snow,False,True,False,False
Airbus A350,2024-10-31 08:12:13.354414,DFW,2024-10-31 12:12:13.354414,LAS,False,2024-10-31 12:12:13.354414,Fog,True,True,True,False
Boeing 777,2024-11-16 15:10:13.354426,ATL,2024-11-16 18:35:13.354426,MIA,True,2024-11-16 17:10:13.354426,Thunderstorm,False,True,False,True
Airbus A350,2024-11-12 09:15:13.354443,JFK,2024-11-12 15:09:13.354443,LAS,True,2024-11-12 13:15:13.354443,Fog,False,True,False,False
Airbus A320,2024-10-29 23:56:13.354454,MIA,2024-10-30 04:56:13.354454,DFW,False,2024-10-30 04:56:13.354454,Clear,False,False,False,False
Boeing 787,2024-11-08 15:21:13.354463,SEA,2024-11-08 21:21:13.354463,DEN,False,2024-11-08 21:21:13.354463,Thunderstorm,False,True,False,False
Boeing 737,2024-11-09 23:45:13.354472,SFO,2024-11-10 03:33:13.354472,SEA,True,2024-11-10 01:45:13.354472,Rain,False,True,False,False
Airbus A320,2024-11-08 23:30:13.354484,SEA,2024-11-09 04:30:13.354484,JFK,False,2024-11-09 04:30:13.354484,Fog,False,True,False,False
Boeing 737,2024-10-29 10:19:13.354493,JFK,2024-10-29 17:26:13.354493,ORD,True,2024-10-29 16:19:13.354493,Snow,False,True,False,False
Boeing 787,2024-10-25 13:48:13.354504,SEA,2024-10-25 19:35:13.354504,LAS,True,2024-10-25 18:48:13.354504,Fog,False,True,False,True
Boeing 737,2024-10-30 13:16:13.354515,ORD,2024-10-30 16:16:13.354515,ATL,False,2024-10-30 16:16:13.354515,Snow,False,True,False,False
Boeing 787,2024-11-14 01:15:13.354524,LAX,2024-11-14 06:03:13.354524,LAS,True,2024-11-14 05:15:13.354524,Clear,False,False,False,True
Boeing 737,2024-11-11 08:46:13.354536,SFO,2024-11-11 13:06:13.354536,LAX,True,2024-11-11 11:46:13.354536,Rain,True,True,False,False
Boeing 787,2024-11-10 07:58:13.354547,DFW,2024-11-10 12:58:13.354547,DEN,False,2024-11-10 12:58:13.354547,Clear,True,False,True,False
Boeing 787,2024-11-02 03:32:13.354556,SEA,2024-11-02 07:17:13.354556,ATL,True,2024-11-02 06:32:13.354556,Clear,False,False,False,True
Airbus A350,2024-10-31 09:16:13.354567,ORD,2024-10-31 11:16:13.354567,ATL,False,2024-10-31 11:16:13.354567,Fog,False,True,False,False
Airbus A350,2024-11-09 15:24:13.354576,SFO,2024-11-09 17:24:13.354576,DEN,False,2024-11-09 17:24:13.354576,Snow,False,True,False,False
Boeing 787,2024-11-17 00:32:13.354585,SEA,2024-11-17 06:08:13.354585,ORD,True,2024-11-17 04:32:13.354585,Rain,False,True,False,False
Boeing 737,2024-10-24 08:10:13.354595,DFW,2024-10-24 11:10:13.354595,SFO,False,2024-10-24 11:10:13.354595,Fog,True,True,True,False
Airbus A350,2024-10-26 18:27:13.354604,ATL,2024-10-27 01:48:13.354604,DEN,True,2024-10-27 00:27:13.354604,Rain,True,True,False,False
Airbus A320,2024-11-16 17:26:13.354615,ORD,2024-11-16 19:26:13.354615,ATL,False,2024-11-16 19:26:13.354615,Clear,True,False,False,False
Airbus A320,2024-11-07 19:28:13.354627,DFW,2024-11-08 00:28:13.354627,DEN,False,2024-11-08 00:28:13.354627,Fog,False,True,False,False
Boeing 787,2024-10-26 05:23:13.354637,DEN,2024-10-26 08:10:13.354637,LAS,True,2024-10-26 07:23:13.354637,Clear,False,False,False,False
Airbus A320,2024-10-26 17:23:13.354647,LAS,2024-10-26 23:46:13.354647,MIA,True,2024-10-26 22:23:13.354647,Clear,True,False,False,False
Airbus A350,2024-11-07 09:14:13.354659,JFK,2024-11-07 12:02:13.354659,LAS,True,2024-11-07 11:14:13.354659,Clear,False,False,False,False
Boeing 777,2024-11-04 06:36:13.354670,SFO,2024-11-04 11:29:13.354670,LAX,True,2024-11-04 09:36:13.354670,Thunderstorm,False,True,False,False
Airbus A350,2024-11-09 07:37:13.354681,ATL,2024-11-09 12:30:13.354681,ORD,True,2024-11-09 10:37:13.354681,Clear,True,False,False,False
Airbus A350,2024-11-01 01:05:13.354692,LAS,2024-11-01 05:05:13.354692,ORD,False,2024-11-01 05:05:13.354692,Thunderstorm,False,True,False,False
Boeing 737,2024-11-19 04:04:13.354701,ORD,2024-11-19 07:45:13.354701,DEN,True,2024-11-19 07:04:13.354701,Rain,False,True,False,False
Airbus A320,2024-10-25 21:27:13.354713,ATL,2024-10-26 01:27:13.354713,LAS,False,2024-10-26 01:27:13.354713,Fog,False,True,False,False
Boeing 787,2024-11-02 19:34:13.354723,LAX,2024-11-02 23:34:13.354723,ORD,False,2024-11-02 23:34:13.354723,Fog,False,True,False,False
Boeing 787,2024-11-18 01:52:13.354738,SFO,2024-11-18 06:52:13.354738,JFK,False,2024-11-18 06:52:13.354738,Clear,False,False,False,False
Airbus A350,2024-11-03 09:18:13.354754,ATL,2024-11-03 13:18:13.354754,DFW,False,2024-11-03 13:18:13.354754,Snow,False,True,False,False
Boeing 777,2024-11-08 18:37:13.354763,LAS,2024-11-08 22:52:13.354763,ORD,True,2024-11-08 22:37:13.354763,Clear,True,False,False,True
Boeing 737,2024-11-04 03:14:13.354775,ORD,2024-11-04 07:47:13.354775,LAS,True,2024-11-04 06:14:13.354775,Snow,False,True,False,True
Boeing 777,2024-10-29 05:10:13.354786,LAX,2024-10-29 09:10:13.354786,ATL,True,2024-10-29 08:10:13.354786,Snow,False,True,False,True
Boeing 787,2024-10-21 09:17:13.354796,LAX,2024-10-21 12:42:13.354796,ORD,True,2024-10-21 11:17:13.354796,Rain,False,True,False,False
Boeing 737,2024-11-16 06:42:13.354807,JFK,2024-11-16 12:53:13.354807,ATL,True,2024-11-16 11:42:13.354807,Clear,False,False,False,True
Boeing 787,2024-10-24 13:10:13.354818,LAX,2024-10-24 18:08:13.354818,ORD,True,2024-10-24 17:10:13.354818,Rain,False,True,False,True
Boeing 737,2024-11-09 22:57:13.354829,LAS,2024-11-10 03:57:13.354829,JFK,False,2024-11-10 03:57:13.354829,Rain,False,True,False,False
Airbus A320,2024-11-17 08:52:13.354838,ATL,2024-11-17 12:38:13.354838,LAS,True,2024-11-17 10:52:13.354838,Clear,True,False,False,False
Boeing 787,2024-10-28 11:28:13.354849,SFO,2024-10-28 14:48:13.354849,ORD,True,2024-10-28 13:28:13.354849,Thunderstorm,False,True,False,False
Boeing 737,2024-11-06 22:19:13.354868,MIA,2024-11-07 01:19:13.354868,DFW,False,2024-11-07 01:19:13.354868,Snow,False,True,False,False
Boeing 737,2024-11-02 06:02:13.354883,DFW,2024-11-02 12:19:13.354883,LAS,True,2024-11-02 11:02:13.354883,Clear,False,False,False,False
Boeing 777,2024-11-17 21:13:13.354895,ORD,2024-11-18 03:00:13.354895,DEN,True,2024-11-18 01:13:13.354895,Fog,False,True,False,True
Boeing 737,2024-10-21 11:00:13.354906,SEA,2024-10-21 14:51:13.354906,LAX,True,2024-10-21 13:00:13.354906,Fog,False,True,False,False
Airbus A350,2024-11-12 14:52:13.354917,ATL,2024-11-12 21:37:13.354917,DEN,True,2024-11-12 20:52:13.354917,Clear,False,False,False,False
Boeing 737,2024-11-15 07:21:13.354943,LAS,2024-11-15 11:21:13.354943,DFW,False,2024-11-15 11:21:13.354943,Thunderstorm,True,True,True,False
Boeing 777,2024-10-22 09:52:13.354953,ATL,2024-10-22 16:00:13.354953,DFW,True,2024-10-22 14:52:13.354953,Thunderstorm,False,True,False,True
Boeing 777,2024-10-22 00:55:13.354964,ORD,2024-10-22 04:08:13.354964,LAX,True,2024-10-22 02:55:13.354964,Snow,False,True,False,False
Airbus A320,2024-11-13 11:33:13.354974,SFO,2024-11-13 14:25:13.354974,ORD,True,2024-11-13 13:33:13.354974,Fog,False,True,False,False
Airbus A350,2024-11-12 21:27:13.354985,LAX,2024-11-12 23:27:13.354985,SFO,False,2024-11-12 23:27:13.354985,Fog,False,True,False,False
Airbus A350,2024-11-05 20:57:13.354994,SFO,2024-11-06 01:39:13.354994,JFK,True,2024-11-06 00:57:13.354994,Clear,False,False,False,True
Airbus A320,2024-10-22 03:02:13.355012,LAS,2024-10-22 05:02:13.355012,JFK,False,2024-10-22 05:02:13.355012,Snow,False,True,False,False
Boeing 787,2024-11-19 04:22:13.355027,ORD,2024-11-19 10:13:13.355027,DFW,True,2024-11-19 09:22:13.355027,Rain,False,True,False,False
Boeing 777,2024-11-08 13:54:13.355039,MIA,2024-11-08 20:26:13.355039,LAX,True,2024-11-08 19:54:13.355039,Rain,False,True,False,True
Boeing 787,2024-11-17 12:36:13.355050,LAX,2024-11-17 16:36:13.355050,LAS,False,2024-11-17 16:36:13.355050,Clear,False,False,False,False
Airbus A350,2024-11-01 09:05:13.355059,DEN,2024-11-01 15:05:13.355059,JFK,False,2024-11-01 15:05:13.355059,Thunderstorm,False,True,False,False
Airbus A320,2024-11-08 18:36:13.355068,DEN,2024-11-08 22:05:13.355068,SFO,True,2024-11-08 21:36:13.355068,Clear,True,False,False,True
Airbus A320,2024-11-11 01:43:13.355080,LAS,2024-11-11 03:43:13.355080,SFO,False,2024-11-11 03:43:13.355080,Clear,False,False,False,False
Boeing 787,2024-10-27 19:02:13.355089,MIA,2024-10-28 00:02:13.355089,LAX,False,2024-10-28 00:02:13.355089,Clear,False,False,False,False
Airbus A320,2024-10-22 10:44:13.355098,MIA,2024-10-22 16:44:13.355098,LAX,False,2024-10-22 16:44:13.355098,Snow,False,True,False,False
Boeing 787,2024-11-06 07:27:13.355107,LAX,2024-11-06 13:52:13.355107,ORD,True,2024-11-06 12:27:13.355107,Thunderstorm,True,True,True,False
Airbus A320,2024-10-29 13:46:13.355118,DFW,2024-10-29 18:46:13.355118,SFO,False,2024-10-29 18:46:13.355118,Snow,False,True,False,False
Boeing 787,2024-10-23 08:55:13.355144,MIA,2024-10-23 15:24:13.355144,DFW,True,2024-10-23 14:55:13.355144,Clear,True,False,True,False
Boeing 787,2024-10-24 20:09:13.355156,SFO,2024-10-24 23:09:13.355156,DEN,False,2024-10-24 23:09:13.355156,Snow,False,True,False,False
Boeing 787,2024-10-23 08:38:13.355165,MIA,2024-10-23 13:15:13.355165,LAX,True,2024-10-23 12:38:13.355165,Snow,True,True,True,True
Airbus A320,2024-11-06 04:30:13.355177,SFO,2024-11-06 08:30:13.355177,DEN,False,2024-11-06 08:30:13.355177,Rain,False,True,False,False
Boeing 737,2024-11-08 02:22:13.355186,ATL,2024-11-08 06:31:13.355186,LAS,True,2024-11-08 05:22:13.355186,Clear,False,False,False,True
